FID,Location,hfai12,hfai15,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,7.75,7.526315789,38770.16557,63770461.78
2,Beechfield/Ten Hills/West Hills,15.58333333,10.4,37524.95053,47882527.71
3,Belair-Edison,10.32608696,8.227272727,31307.31484,44950030.47
4,Brooklyn/Curtis Bay/Hawkins Point,8.58823529,8.793103448,150987.7036,176077742.7
5,Canton,16.9,15.2,23338.61195,15408538.22
6,Cedonia/Frankford,12.33333333,8.956521739,39962.54983,71541340.31
7,Cherry Hill,8.78571429,7.875,22305.30207,29144181.35
8,Chinquapin Park/Belvedere,15.25,8.666666667,21705.41163,21022590.13
9,Claremont/Armistead,7.35,6.545454545,40104.41598,61243774.42
10,Clifton-Berea,8.78125,8.15,24022.76462,23285233.93
11,Dickeyville/Franklintown,0,2,31637.81742,35719112.41
12,Dorchester/Ashburton,9.95833333,7.733333333,27136.07571,34118277.18
13,Downtown/Seton Hill,6.70588235,8.931818182,21565.85939,20736554.41
14,Edmondson Village,6.42857143,7.166666667,21504.55136,23563061.04
15,Fells Point,10.2,11.25,27670.16992,12620515.72
16,Forest Park/Walbrook,7.83333333,9.9375,36886.89978,37200535.03
17,Glen-Fallstaff,10.29310345,9.145833333,48549.00462,46995477.48
18,Greater Charles Village/Barclay,15.32608696,10.87931034,26454.26921,27051213.46
19,Greater Govans,8.90909091,9.666666667,22982.12572,22698495.72
20,Greater Mondawmin,13.95454545,9.730769231,31136.73189,33663448.28
21,Greater Roland Park/Poplar Hill,11.75,8.214285714,39862.7498,56688145.18
22,Greater Rosemont,6.86764706,7.512820513,32559.07622,42204384.54
23,Greenmount East,9.575,10.18421053,20797.47346,19072287.82
24,Hamilton,8.84375,7.961538462,27712.11109,45191100.56
25,Harbor East/Little Italy,11.76923077,10.39285714,18552.40758,10215859.08
26,Harford/Echodale,9.91666667,8.653846154,40019.1854,65360039.17
27,Highlandtown,13.93333333,13.88888889,14976.12385,11684191.12
28,Howard Park/West Arlington,10.2,9.076923077,36034.49845,63262430.07
29,Inner Harbor/Federal Hill,12.42857143,8.5,43415.05955,24995836.26
30,Lauraville,11.5,9.25,34419.67653,49665744.24
31,Loch Raven,15.3125,10.5,29314.33467,44147812.33
32,Madison/East End,10.08695652,9.711538462,13120.15872,8897845.191
33,Medfield/Hampden/Woodberry/Remington,10.425,9.727272727,43152.6257,62441489.24
34,Midtown,13,11.17391304,25020.09697,23823949.93
35,Midway/Coldstream,8.02272727,9.145833333,22767.82742,17884471.29
36,Morrell Park/Violetville,10.4375,9.136363636,44412.74513,67470845.99
37,Mount Washington/Coldspring,24.75,28.5,38539.76615,56943058.65
38,North Baltimore/Guilford/Homeland,7.52941176,8,42904.22214,74923987.69
39,Northwood,8.85714286,9.142857143,38889.89459,52743271.77
40,Oldtown/Middle East,8.39285714,8.884615385,23866.32818,24585968.23
41,Orangeville/East Highlandtown,8.61904762,8.944444444,47825.86293,89894372.21
42,Patterson Park North & East,12.65,10.8,21786.37466,14507643.2
43,Penn North/Reservoir Hill,7,7.733333333,29078.8385,41059796.68
44,Pimlico/Arlington/Hilltop,9.75,7.97826087,24725.93407,30400962.01
45,Poppleton/The Terraces/Hollins Market,8.45454545,10.66666667,12334.02753,9302012.999
46,Sandtown-Winchester/Harlem Park,9.39393939,9.14,20987.14331,23672092.87
47,South Baltimore,18.08333333,14,68440.02583,46353935.43
48,Southeastern,7.16666667,12.31818182,102291.4805,111251478.5
49,Southern Park Heights,11.72222222,10.3,24052.22137,27876227.59
50,Southwest Baltimore,10.26530612,8.921052632,28355.56358,37766068.84
51,The Waverlies,15.1,10.8,18733.82688,20383750.54
52,Upton/Druid Heights,9.80555556,8.45,19389.30782,16976622.34
53,Washington Village/Pigtown,9.80555556,9,36962.26009,39343262.04
54,Westport/Mount Winans/Lakeland,14.36666667,11.33333333,42573.12442,45494092.95