CSA2010,hfai12,hfai15,Difference
Allendale/Irvington/S. Hilton,7.75,7.52631579,-0.22368421
Beechfield/Ten Hills/West Hills,15.5833333,10.4,-5.1833333
Belair-Edison,10.326087,8.22727273,-2.09881427
Brooklyn/Curtis Bay/Hawkins Point,8.58823529,8.79310345,0.20486816
Canton,16.9,15.2,-1.7
Cedonia/Frankford,12.3333333,8.95652174,-3.37681156
Cherry Hill,8.78571429,7.875,-0.91071429
Chinquapin Park/Belvedere,15.25,8.66666667,-6.58333333
Claremont/Armistead,7.35,6.54545455,-0.80454545
Clifton-Berea,8.78125,8.15,-0.63125
Dickeyville/Franklintown,0,2,2
Dorchester/Ashburton,9.95833333,7.73333333,-2.225
Downtown/Seton Hill,6.70588235,8.93181818,2.22593583
Edmondson Village,6.42857143,7.16666667,0.73809524
Fells Point,10.2,11.25,1.05
Forest Park/Walbrook,7.83333333,9.9375,2.10416667
Glen-Fallstaff,10.2931035,9.14583333,-1.14727017
Greater Charles Village/Barclay,15.326087,10.8793103,-4.4467767
Greater Govans,8.90909091,9.66666667,0.75757576
Greater Mondawmin,13.9545455,9.73076923,-4.22377627
Greater Roland Park/Poplar Hill,11.75,8.21428571,-3.53571429
Greater Rosemont,6.86764706,7.51282051,0.64517345
Greenmount East,9.575,10.1842105,0.6092105
Hamilton,8.84375,7.96153846,-0.88221154
Harbor East/Little Italy,11.7692308,10.3928571,-1.3763737
Harford/Echodale,9.91666667,8.65384615,-1.26282052
Highlandtown,13.9333333,13.8888889,-0.0444444
Howard Park/West Arlington,10.2,9.07692308,-1.12307692
Inner Harbor/Federal Hill,12.4285714,8.5,-3.9285714
Lauraville,11.5,9.25,-2.25
Loch Raven,15.3125,10.5,-4.8125
Madison/East End,10.0869565,9.71153846,-0.37541804
Medfield/Hampden/Woodberry/Remington,10.425,9.72727273,-0.69772727
Midtown,13,11.173913,-1.826087
Midway/Coldstream,8.02272727,9.14583333,1.12310606
Morrell Park/Violetville,10.4375,9.13636364,-1.30113636
Mount Washington/Coldspring,24.75,28.5,3.75
North Baltimore/Guilford/Homeland,7.52941176,8,0.47058824
Northwood,8.85714286,9.14285714,0.28571428
Oldtown/Middle East,8.39285714,8.88461539,0.49175825
Orangeville/East Highlandtown,8.61904762,8.94444444,0.32539682
Patterson Park North & East,12.65,10.8,-1.85
Penn North/Reservoir Hill,7,7.73333333,0.73333333
Pimlico/Arlington/Hilltop,9.75,7.97826087,-1.77173913
Poppleton/The Terraces/Hollins Market,8.45454545,10.6666667,2.21212125
Sandtown-Winchester/Harlem Park,9.39393939,9.14,-0.25393939
South Baltimore,18.0833333,14,-4.0833333
Southeastern,7.16666667,12.3181818,5.15151513
Southern Park Heights,11.7222222,10.3,-1.4222222
Southwest Baltimore,10.2653061,8.92105263,-1.34425347
The Waverlies,15.1,10.8,-4.3
Upton/Druid Heights,9.80555556,8.45,-1.35555556
Washington Village/Pigtown,9.80555556,9,-0.80555556
Westport/Mount Winans/Lakeland,14.3666667,11.3333333,-3.0333334